Evaluation for kmeans Summary
File Name,ROUGE,Precision,Recall,F-measure
001.txt,rouge-1,0.7366255144032922,0.6067796610169491,0.6654275043403907
001.txt,rouge-2,0.5867768595041323,0.48299319727891155,0.5298507413157163
001.txt,rouge-l,0.6375838926174496,0.5900621118012422,0.6129032208139439
002.txt,rouge-1,0.7073170731707317,0.3790849673202614,0.4936170167330014
002.txt,rouge-2,0.4691358024691358,0.25,0.3261802529750042
002.txt,rouge-l,0.639344262295082,0.3979591836734694,0.4905660330066058
003.txt,rouge-1,0.3508771929824561,0.273972602739726,0.3076923027680474
003.txt,rouge-2,0.03571428571428571,0.027777777777777776,0.03124999507812578
003.txt,rouge-l,0.26,0.26,0.2599999950000001
004.txt,rouge-1,0.6818181818181818,0.35714285714285715,0.46874999548828133
004.txt,rouge-2,0.5045871559633027,0.2631578947368421,0.3459119451799771
004.txt,rouge-l,0.6385542168674698,0.39552238805970147,0.4884792579489903
005.txt,rouge-1,0.683982683982684,0.47305389221556887,0.5592920305643982
005.txt,rouge-2,0.45652173913043476,0.3153153153153153,0.3730017713662851
005.txt,rouge-l,0.5786163522012578,0.44660194174757284,0.5041095841240008
006.txt,rouge-1,0.691358024691358,0.39436619718309857,0.5022421478404956
006.txt,rouge-2,0.4906832298136646,0.2791519434628975,0.3558558512333618
006.txt,rouge-l,0.5983606557377049,0.4124293785310734,0.48829430955045255
007.txt,rouge-1,0.4675324675324675,0.36,0.40677965610137573
007.txt,rouge-2,0.23684210526315788,0.18181818181818182,0.20571428080065315
007.txt,rouge-l,0.42857142857142855,0.36,0.3913043428638942
008.txt,rouge-1,0.4,0.256,0.3121951171921476
008.txt,rouge-2,0.22784810126582278,0.14516129032258066,0.17733989672353143
008.txt,rouge-l,0.3333333333333333,0.2875,0.30872482724201616
010.txt,rouge-1,0.723404255319149,0.4434782608695652,0.5498652243982535
010.txt,rouge-2,0.5928571428571429,0.3624454148471616,0.4498644939358554
010.txt,rouge-l,0.6666666666666666,0.5255474452554745,0.5877550971108705
011.txt,rouge-1,0.8920863309352518,0.4679245283018868,0.6138613816249633
011.txt,rouge-2,0.7753623188405797,0.4053030303030303,0.5323383039489122
011.txt,rouge-l,0.8543689320388349,0.5534591194968553,0.6717557204192647
012.txt,rouge-1,0.6956521739130435,0.4528301886792453,0.548571423794939
012.txt,rouge-2,0.47058823529411764,0.3047619047619048,0.3699421917604999
012.txt,rouge-l,0.6153846153846154,0.43243243243243246,0.5079365030889393
013.txt,rouge-1,0.8711656441717791,0.5525291828793775,0.6761904714409297
013.txt,rouge-2,0.7716049382716049,0.48828125,0.59808611965477
013.txt,rouge-l,0.8828828828828829,0.6363636363636364,0.7396226366410823
014.txt,rouge-1,0.4520547945205479,0.24812030075187969,0.3203883449387313
014.txt,rouge-2,0.2638888888888889,0.14393939393939395,0.18627450523644765
014.txt,rouge-l,0.4,0.2857142857142857,0.33333332847222225
015.txt,rouge-1,0.7215189873417721,0.4789915966386555,0.5757575709616367
015.txt,rouge-2,0.6538461538461539,0.4322033898305085,0.5204081584735527
015.txt,rouge-l,0.6923076923076923,0.5487804878048781,0.612244893026054
016.txt,rouge-1,0.8277310924369747,0.5487465181058496,0.6599664943678752
016.txt,rouge-2,0.70042194092827,0.46368715083798884,0.5579831884840901
016.txt,rouge-l,0.8,0.5463414634146342,0.6492753574963244
017.txt,rouge-1,0.7985074626865671,0.5219512195121951,0.6312684317974957
017.txt,rouge-2,0.6466165413533834,0.4215686274509804,0.5103857518984936
017.txt,rouge-l,0.7448979591836735,0.553030303030303,0.634782603804915
018.txt,rouge-1,0.5,0.3248407643312102,0.39382238904786754
