Evaluation for Combined Summary
File Name,ROUGE,Method,Precision,Recall,F-measure
001.txt,rouge-1,GraphBased,1.0,0.21052631578947367,0.34782608408317583
001.txt,rouge-1,FeatureBased,0.7368421052631579,0.7368421052631579,0.7368421002631579
001.txt,rouge-1,ClusterBased,0.5,0.07368421052631578,0.1284403647336083
001.txt,rouge-1,Final,0.5294117647058824,0.7578947368421053,0.6233766185341355
001.txt,rouge-2,GraphBased,1.0,0.20212765957446807,0.336283183043308
001.txt,rouge-2,FeatureBased,0.6914893617021277,0.6914893617021277,0.6914893567021277
001.txt,rouge-2,ClusterBased,0.38461538461538464,0.05319148936170213,0.09345794179054943
001.txt,rouge-2,Final,0.4888888888888889,0.7021276595744681,0.5764192091340745
001.txt,rouge-l,GraphBased,1.0,0.273972602739726,0.4301075235056076
001.txt,rouge-l,FeatureBased,0.7857142857142857,0.7534246575342466,0.76923076423297
001.txt,rouge-l,ClusterBased,0.5,0.0958904109589041,0.16091953752939625
001.txt,rouge-l,Final,0.5490196078431373,0.7671232876712328,0.6399999951373062
002.txt,rouge-1,GraphBased,1.0,0.45098039215686275,0.6216216173374727
002.txt,rouge-1,FeatureBased,0.6666666666666666,0.8235294117647058,0.7368421003185596
002.txt,rouge-1,ClusterBased,1.0,0.3137254901960784,0.47761193666295393
002.txt,rouge-1,Final,0.41346153846153844,0.8431372549019608,0.5548387052620187
002.txt,rouge-2,GraphBased,1.0,0.44,0.611111106867284
002.txt,rouge-2,FeatureBased,0.6129032258064516,0.76,0.6785714236288265
002.txt,rouge-2,ClusterBased,1.0,0.3,0.4615384579881657
002.txt,rouge-2,Final,0.36893203883495146,0.76,0.4967320217437738
002.txt,rouge-l,GraphBased,1.0,0.5365853658536586,0.698412693867473
002.txt,rouge-l,FeatureBased,0.6862745098039216,0.8536585365853658,0.760869560276465
002.txt,rouge-l,ClusterBased,1.0,0.36585365853658536,0.5357142817920919
002.txt,rouge-l,Final,0.4235294117647059,0.8780487804878049,0.5714285670382969
003.txt,rouge-1,GraphBased,1.0,0.20430107526881722,0.3392857114684312
003.txt,rouge-1,FeatureBased,0.6377551020408163,0.6720430107526881,0.6544502567835312
003.txt,rouge-1,ClusterBased,0.782608695652174,0.0967741935483871,0.17224880186900482
003.txt,rouge-1,Final,0.5515873015873016,0.7473118279569892,0.6347031914605619
