Evaluation for random Summary
File Name,ROUGE,Precision,Recall,F-measure
001.txt,rouge-1,0.54,0.28421052631578947,0.37241378858501784
001.txt,rouge-2,0.3877551020408163,0.20212765957446807,0.26573426122939997
001.txt,rouge-l,0.5,0.3150684931506849,0.38655461710613664
002.txt,rouge-1,0.625,0.49019607843137253,0.5494505445236083
002.txt,rouge-2,0.5641025641025641,0.44,0.4943820175482895
002.txt,rouge-l,0.5789473684210527,0.5365853658536586,0.5569620203236662
003.txt,rouge-1,0.3181818181818182,0.15053763440860216,0.20437955768341423
003.txt,rouge-2,0.034482758620689655,0.016216216216216217,0.02205881917847188
003.txt,rouge-l,0.19117647058823528,0.11711711711711711,0.1452513919365814
004.txt,rouge-1,1.0,0.5196078431372549,0.6838709632416234
004.txt,rouge-2,1.0,0.5148514851485149,0.6797385576043403
004.txt,rouge-l,1.0,0.6,0.7499999953125
005.txt,rouge-1,0.14285714285714285,0.036585365853658534,0.05825242393816589
005.txt,rouge-2,0.0,0.0,0.0
005.txt,rouge-l,0.05,0.015384615384615385,0.023529408166090518
006.txt,rouge-1,0.6481481481481481,0.5303030303030303,0.5833333283833334
006.txt,rouge-2,0.5471698113207547,0.4461538461538462,0.49152541878052286
006.txt,rouge-l,0.6170212765957447,0.5178571428571429,0.5631067911546801
007.txt,rouge-1,0.1702127659574468,0.14814814814814814,0.15841583660817582
007.txt,rouge-2,0.0,0.0,0.0
007.txt,rouge-l,0.11627906976744186,0.10204081632653061,0.10869564719517982
008.txt,rouge-1,0.47058823529411764,0.13114754098360656,0.2051282017192637
008.txt,rouge-2,0.09090909090909091,0.024793388429752067,0.03896103559369232
008.txt,rouge-l,0.41379310344827586,0.1348314606741573,0.20338982680120657
009.txt,rouge-1,0.6057692307692307,0.35195530726256985,0.4452296773299705
009.txt,rouge-2,0.4368932038834951,0.25280898876404495,0.3202846928650853
009.txt,rouge-l,0.5121951219512195,0.3652173913043478,0.42639593422659694
010.txt,rouge-1,0.7254901960784313,0.3557692307692308,0.4774193504233092
010.txt,rouge-2,0.62,0.30097087378640774,0.40522875376991757
010.txt,rouge-l,0.6956521739130435,0.43243243243243246,0.5333333286055556
011.txt,rouge-1,0.2553191489361702,0.13636363636363635,0.17777777323895758
011.txt,rouge-2,0.021739130434782608,0.011494252873563218,0.015037589460117818
011.txt,rouge-l,0.1794871794871795,0.11290322580645161,0.13861385664542708
012.txt,rouge-1,0.631578947368421,0.375,0.47058823061899274
012.txt,rouge-2,0.375,0.22105263157894736,0.27814569069777645
012.txt,rouge-l,0.5208333333333334,0.3472222222222222,0.4166666618666667
013.txt,rouge-1,0.3855421686746988,0.23703703703703705,0.29357797693586407
013.txt,rouge-2,0.1951219512195122,0.11940298507462686,0.14814814343792881
013.txt,rouge-l,0.42028985507246375,0.29896907216494845,0.3493975855037016
014.txt,rouge-1,0.6016949152542372,0.37967914438502676,0.46557376574770226
014.txt,rouge-2,0.37606837606837606,0.23655913978494625,0.2904290381635788
014.txt,rouge-l,0.5483870967741935,0.3695652173913043,0.4415584367481869
015.txt,rouge-1,0.6129032258064516,0.5135135135135135,0.5588235244506922
015.txt,rouge-2,0.5081967213114754,0.4246575342465753,0.46268656220427706
015.txt,rouge-l,0.6,0.55,0.5739130384877128
016.txt,rouge-1,0.5535714285714286,0.28703703703703703,0.3780487759904819
016.txt,rouge-2,0.43636363636363634,0.22429906542056074,0.2962962918114617
016.txt,rouge-l,0.5106382978723404,0.3076923076923077,0.38399999530752005
017.txt,rouge-1,0.5526315789473685,0.3853211009174312,0.45405404921314835
017.txt,rouge-2,0.36,0.25,0.2950819623757055
017.txt,rouge-l,0.48484848484848486,0.4155844155844156,0.4475524425820334
018.txt,rouge-1,0.546875,0.2845528455284553,0.3743315462998656
018.txt,rouge-2,0.38095238095238093,0.19672131147540983,0.25945945496800593
018.txt,rouge-l,0.5087719298245614,0.31521739130434784,0.38926174024233146
019.txt,rouge-1,0.6444444444444445,0.46774193548387094,0.542056069892567
019.txt,rouge-2,0.5454545454545454,0.39344262295081966,0.45714285227392293
019.txt,rouge-l,0.6666666666666666,0.5098039215686274,0.5777777728666668
020.txt,rouge-1,0.46938775510204084,0.23958333333333334,0.3172413748356719
020.txt,rouge-2,0.25,0.12631578947368421,0.16783216337229218
020.txt,rouge-l,0.4418604651162791,0.2638888888888889,0.3304347779266541
021.txt,rouge-1,0.711864406779661,0.33070866141732286,0.4516128988940919
021.txt,rouge-2,0.5862068965517241,0.2698412698412698,0.3695652130741966
021.txt,rouge-l,0.7169811320754716,0.38,0.49673202161561797
022.txt,rouge-1,0.5131578947368421,0.3644859813084112,0.42622950334020127
022.txt,rouge-2,0.37333333333333335,0.2641509433962264,0.3093922603400385
022.txt,rouge-l,0.4067796610169492,0.3287671232876712,0.36363635869260796
023.txt,rouge-1,0.6949152542372882,0.40594059405940597,0.5124999953445314
023.txt,rouge-2,0.5299145299145299,0.30845771144278605,0.3899371022671176
023.txt,rouge-l,0.6477272727272727,0.4222222222222222,0.5112107575539424
024.txt,rouge-1,0.6382978723404256,0.40540540540540543,0.4958677638439998
024.txt,rouge-2,0.4782608695652174,0.3013698630136986,0.36974789441706096
024.txt,rouge-l,0.5777777777777777,0.4,0.472727267892562
025.txt,rouge-1,0.3793103448275862,0.15714285714285714,0.22222221807978781
025.txt,rouge-2,0.05263157894736842,0.02158273381294964,0.030612240773115928
025.txt,rouge-l,0.32075471698113206,0.18478260869565216,0.23448275398240195
026.txt,rouge-1,0.42424242424242425,0.16091954022988506,0.23333332934583337
026.txt,rouge-2,0.125,0.046511627906976744,0.06779660621660466
026.txt,rouge-l,0.34375,0.171875,0.2291666622222223
027.txt,rouge-1,0.6052631578947368,0.25555555555555554,0.35937499582519533
027.txt,rouge-2,0.3783783783783784,0.15730337078651685,0.22222221807382217
027.txt,rouge-l,0.5294117647058824,0.2608695652173913,0.34951455868413617
028.txt,rouge-1,0.32432432432432434,0.1875,0.2376237577335556
028.txt,rouge-2,0.1232876712328767,0.07086614173228346,0.08999999536450023
028.txt,rouge-l,0.3392857142857143,0.2111111111111111,0.2602739678738976
029.txt,rouge-1,0.3125,0.12987012987012986,0.1834862343843112
029.txt,rouge-2,0.03225806451612903,0.013157894736842105,0.018691584669404345
029.txt,rouge-l,0.3,0.14754098360655737,0.19780219338244184
030.txt,rouge-1,0.6013986013986014,0.2598187311178248,0.3628691940987912
030.txt,rouge-2,0.36619718309859156,0.15757575757575756,0.22033897884408224
030.txt,rouge-l,0.5181818181818182,0.2626728110599078,0.34862384874636443
031.txt,rouge-1,0.5625,0.24324324324324326,0.3396226372944109
031.txt,rouge-2,0.3870967741935484,0.1643835616438356,0.2307692265846894
031.txt,rouge-l,0.5,0.24193548387096775,0.3260869521266541
032.txt,rouge-1,0.575,0.25274725274725274,0.3511450339257619
032.txt,rouge-2,0.38461538461538464,0.16666666666666666,0.23255813531638725
032.txt,rouge-l,0.5428571428571428,0.2923076923076923,0.37999999545000007
033.txt,rouge-1,0.7321428571428571,0.3082706766917293,0.4338624296923379
033.txt,rouge-2,0.6,0.25,0.3529411723183391
033.txt,rouge-l,0.72,0.391304347826087,0.5070422489585401
034.txt,rouge-1,0.7297297297297297,0.35526315789473684,0.4778761017902734
034.txt,rouge-2,0.592391304347826,0.287598944591029,0.38721136327300143
034.txt,rouge-l,0.6614173228346457,0.4158415841584158,0.5106382931321772
035.txt,rouge-1,0.5128205128205128,0.3007518796992481,0.3791469147710069
035.txt,rouge-2,0.2077922077922078,0.12121212121212122,0.1531100431931505
035.txt,rouge-l,0.3492063492063492,0.22916666666666666,0.27672955496380686
036.txt,rouge-1,0.27586206896551724,0.08421052631578947,0.12903225448100947
036.txt,rouge-2,0.03571428571428571,0.010638297872340425,0.01639343908626789
036.txt,rouge-l,0.2962962962962963,0.10126582278481013,0.15094339242969038
037.txt,rouge-1,0.3170731707317073,0.09701492537313433,0.14857142498351028
037.txt,rouge-2,0.025,0.007518796992481203,0.011560690086539233
037.txt,rouge-l,0.23684210526315788,0.0967741935483871,0.13740457603403078
038.txt,rouge-1,0.6190476190476191,0.21311475409836064,0.31707316692147536
038.txt,rouge-2,0.3064516129032258,0.1043956043956044,0.15573770112738522
038.txt,rouge-l,0.4897959183673469,0.2376237623762376,0.31999999560088893
039.txt,rouge-1,0.6756756756756757,0.2840909090909091,0.39999999583232004
039.txt,rouge-2,0.5555555555555556,0.22988505747126436,0.32520324789212773
039.txt,rouge-l,0.65625,0.328125,0.4374999955555556
040.txt,rouge-1,0.4723926380368098,0.23839009287925697,0.31687242352546197
