Evaluation for Feature based Summary
File Name,ROUGE,Precision,Recall,F-measure
001.txt,rouge-1,0.2961165048543689,0.41496598639455784,0.34560906029548427
001.txt,rouge-2,0.12195121951219512,0.17123287671232876,0.1424501375914158
001.txt,rouge-l,0.31297709923664124,0.37962962962962965,0.3430962293559287
002.txt,rouge-1,0.6,0.6402439024390244,0.6194690215539371
002.txt,rouge-2,0.4425287356321839,0.4723926380368098,0.4569732887738732
002.txt,rouge-l,0.5294117647058824,0.5727272727272728,0.5502183356190768
003.txt,rouge-1,0.7175572519083969,0.7401574803149606,0.7286821655438375
003.txt,rouge-2,0.6153846153846154,0.6349206349206349,0.6249999950012207
003.txt,rouge-l,0.7555555555555555,0.7727272727272727,0.764044938820856
004.txt,rouge-1,0.8252427184466019,0.8252427184466019,0.8252427134466019
004.txt,rouge-2,0.7658536585365854,0.7658536585365854,0.7658536535365854
004.txt,rouge-l,0.8296296296296296,0.8296296296296296,0.8296296246296297
005.txt,rouge-1,0.696969696969697,0.7863247863247863,0.7389558183113175
005.txt,rouge-2,0.5877862595419847,0.6637931034482759,0.6234817763949583
005.txt,rouge-l,0.6907216494845361,0.7701149425287356,0.7282608645799858
006.txt,rouge-1,0.358974358974359,0.3835616438356164,0.3708609221578001
006.txt,rouge-2,0.24675324675324675,0.2638888888888889,0.2550335520526103
006.txt,rouge-l,0.3050847457627119,0.3333333333333333,0.3185840658062496
007.txt,rouge-1,0.7518248175182481,0.7304964539007093,0.7410071892456397
007.txt,rouge-2,0.6691176470588235,0.65,0.6594202848561228
007.txt,rouge-l,0.7263157894736842,0.7263157894736842,0.7263157844736843
008.txt,rouge-1,0.674074074074074,0.558282208588957,0.6107382500776993
008.txt,rouge-2,0.5223880597014925,0.43209876543209874,0.4729729680177137
008.txt,rouge-l,0.6521739130434783,0.5217391304347826,0.5797101399892647
009.txt,rouge-1,0.65,0.7722772277227723,0.7058823479781331
009.txt,rouge-2,0.5966386554621849,0.71,0.6484018215216529
009.txt,rouge-l,0.6436781609195402,0.8115942028985508,0.717948713015286
